community_id,size,diameter,density,clustering,conductance
0,27,3,0.5868945868945868,0.8418036243973637,0.0
1,27,3,0.5356125356125356,0.7959000500194171,0.0
2,27,4,0.4472934472934473,0.7987360729448792,0.0
3,27,4,0.36182336182336183,0.7755160801944427,0.0
4,27,3,0.4472934472934473,0.811722343258291,0.0
5,27,3,0.3561253561253561,0.7867783511574361,0.0
6,27,4,0.396011396011396,0.7681621936523897,0.0
7,27,4,0.47293447293447294,0.7296697174578152,0.0
8,27,3,0.42735042735042733,0.803248458150419,0.0
9,27,4,0.3646723646723647,0.7976044168854627,0.0
10,27,3,0.4358974358974359,0.7916459052165967,0.0
11,27,4,0.39886039886039887,0.7217391483645353,0.0
12,27,3,0.6210826210826211,0.8170079888121796,0.0
13,27,4,0.3418803418803419,0.8211814208546235,0.0
14,27,3,0.4757834757834758,0.8445788581839494,0.0
15,27,4,0.4074074074074074,0.6884776659974458,0.0
16,26,3,0.3292307692307692,0.7617133765919191,0.0
17,26,4,0.4584615384615385,0.8020505073106883,0.0
18,26,5,0.4646153846153846,0.740910628758926,0.0
19,26,4,0.49846153846153846,0.8088737130800717,0.0
20,26,4,0.3384615384615385,0.7465473628935168,0.0
21,26,4,0.4338461538461538,0.7098230766217191,0.0
22,26,4,0.28,0.7452610235415664,0.0
23,26,3,0.3723076923076923,0.8194306199873002,0.0
24,26,3,0.6061538461538462,0.7872254164823824,0.0
25,26,3,0.4461538461538462,0.8142488230723525,0.0
26,26,4,0.47384615384615386,0.7927807575848776,0.0
27,26,3,0.52,0.7965822975944434,0.0
28,26,3,0.38769230769230767,0.7896769827378306,0.0
29,26,3,0.48,0.7568605206018877,0.0
30,26,5,0.35384615384615387,0.7533363192865455,0.0
31,26,3,0.5015384615384615,0.7889758332482791,0.0
32,26,4,0.4123076923076923,0.7246149526692514,0.0
33,26,3,0.5415384615384615,0.8338186442437454,0.0
34,26,3,0.48923076923076925,0.8746962188138659,0.0
35,26,4,0.37538461538461537,0.6979893974803477,0.0
36,26,4,0.48307692307692307,0.8442704731166271,0.0
37,26,3,0.4338461538461538,0.7545859683303122,0.0
38,26,4,0.5169230769230769,0.8539052665600653,0.0
39,26,3,0.4246153846153846,0.8963104186967011,0.0
40,26,4,0.4676923076923077,0.76742600397935,0.0
41,26,4,0.36615384615384616,0.8144116015365123,0.0
42,26,3,0.5507692307692308,0.8946425736286417,0.0
43,26,3,0.4430769230769231,0.795525759731523,0.0
44,26,3,0.4584615384615385,0.7791921816243084,0.0
45,26,4,0.4584615384615385,0.821386277914618,0.0
46,26,3,0.32,0.8176799319333257,0.0
47,26,4,0.5753846153846154,0.7728062658016218,0.0
48,26,3,0.6276923076923077,0.8778862123825211,0.0
49,26,4,0.48307692307692307,0.7148043906557839,0.0
